"id"	"location.id"	"x"	"y"	"period"	"col.date"	"date"	"col.time"	"time"	"depth.cat"	"depth"	"swp"	"swc"
715	160	530	457	"mar.2016"	42445	"3/16/2016"	0.518055556	"12:26"	"shallow"	15	-0.64	29.62364569
716	161	529.5	434	"feb.2015"	42061	"2/26/2015"	0.388194	"9:19"	"shallow"	17	0	48.67091712
717	161	529.5	434	"mar.2015"	42087	"3/24/2015"	0.465972	"11:11"	"shallow"	16	-0.16	35.33685601
718	161	529.5	434	"apr.2015"	42101	"4/7/2015"	0.470833	"11:18"	"shallow"	16	-0.06	36.50582129
719	161	529.5	434	"mar.2016"	42444	"3/15/2016"	0.563888889	"13:32"	"shallow"	16	-0.41	36.07205624
720	162	508	445	"feb.2015"	42059	"2/24/2015"	0.467361	"11:13"	"shallow"	14	-0.09	37.40725037
721	162	508	445	"mar.2015"	42086	"3/23/2015"	0.53125	"12:45"	"shallow"	16	-0.29	32.71475808
722	162	508	445	"apr.2015"	42100	"4/6/2015"	0.53125	"12:45"	"shallow"	15	-0.2	27.74082655
723	162	508	445	"mar.2016"	42443	"3/14/2016"	0.390972222	"9:23"	"shallow"	16	-0.08	30.68402643
724	163	506	422.5	"feb.2015"	42061	"2/26/2015"	0.391667	"9:24"	"shallow"	16	-0.25	33.66870573
725	163	506	422.5	"mar.2015"	42087	"3/24/2015"	0.472222	"11:20"	"shallow"	17	-0.4	32.6234676
726	163	506	422.5	"apr.2015"	42101	"4/7/2015"	0.472917	"11:21"	"shallow"	17	-0.48	31.1860843
727	163	506	422.5	"apr.2015"	42101	"4/7/2015"	0.476389	"11:26"	"middle"	37	-0.39	31.05936819
728	163	506	422.5	"mar.2016"	42444	"3/15/2016"	0.559027778	"13:25"	"shallow"	15	-1.59	29.55042045
729	163	506	422.5	"mar.2016"	42444	"3/15/2016"	0.561111111	"13:28"	"middle"	38.5	-0.39	30.65714286
730	164	484	430	"feb.2015"	42061	"2/26/2015"	0.395139	"9:29"	"shallow"	15	-0.01	37.15354368
731	164	484	430	"mar.2015"	42087	"3/24/2015"	0.475694	"11:25"	"shallow"	18	-0.29	34.50945241
