Date,Location,Species,Gasex_typeOrSequence,Barcode,LWP_coll_time,LWP_time,LWP_bar,LWP_comment,,,
2016-03-12,PA-BCI,INGAPE,Pre-dawn LWP,BNL11242,06:00,07:54,6.5,-9999,,,
2016-03-12,PA-BCI,INGAPE,Pre-dawn LWP,BNL11496,06:00,07:20,11.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Pre-dawn LWP,BNL11233,06:00,08:10,8.5,-9999,,,
2016-03-12,PA-BCI,MICOAR,Pre-dawn LWP,BNL11423,06:00,08:06,5.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Pre-dawn LWP,BNL11424,06:00,08:09,3.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Pre-dawn LWP,BNL11401,06:00,07:22,9.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Pre-dawn LWP,BNL11404,06:00,07:27,5.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Pre-dawn LWP,BNL11490,06:00,07:45,6.0,-9999,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
